,date,open,high,low,close,volume,symbol
0,2024-12-30 00:00:00-05:00,123.55999755859375,124.0999984741211,122.3499984741211,122.44000244140625,30501600,AMD
1,2024-12-31 00:00:00-05:00,123.0999984741211,123.55000305175781,120.13999938964844,120.79000091552734,30203400,AMD
2,2025-01-02 00:00:00-05:00,122.29000091552734,123.13999938964844,119.44000244140625,120.62999725341797,34256200,AMD
3,2025-01-03 00:00:00-05:00,121.6500015258789,125.55999755859375,121.41999816894531,125.37000274658203,36785300,AMD
4,2025-01-06 00:00:00-05:00,129.07000732421875,130.72999572753906,127.36000061035156,129.5500030517578,48020200,AMD
5,2025-01-07 00:00:00-05:00,130.50999450683594,131.7100067138672,126.8499984741211,127.33000183105469,39220400,AMD
6,2025-01-08 00:00:00-05:00,124.51000213623047,125.30000305175781,120.12000274658203,121.83999633789062,46723100,AMD
7,2025-01-10 00:00:00-05:00,118.18000030517578,118.70999908447266,114.44999694824219,116.04000091552734,59415600,AMD
8,2025-01-13 00:00:00-05:00,115.27999877929688,117.4800033569336,114.41000366210938,117.31999969482422,39128900,AMD
9,2025-01-14 00:00:00-05:00,118.0,118.66000366210938,114.5,116.08999633789062,37005300,AMD
10,2025-01-15 00:00:00-05:00,117.55000305175781,120.41999816894531,117.45999908447266,119.95999908447266,38185800,AMD
11,2025-01-16 00:00:00-05:00,120.23999786376953,121.08999633789062,118.25,118.44000244140625,29414100,AMD
12,2025-01-17 00:00:00-05:00,120.77999877929688,122.73999786376953,120.55000305175781,121.45999908447266,35765900,AMD
13,2025-01-21 00:00:00-05:00,122.38999938964844,123.75,121.12000274658203,122.27999877929688,31578800,AMD
14,2025-01-22 00:00:00-05:00,123.08000183105469,125.6500015258789,121.91000366210938,123.75,35023800,AMD
15,2025-01-23 00:00:00-05:00,121.43000030517578,123.70999908447266,120.62999725341797,123.04000091552734,24921100,AMD
16,2025-01-24 00:00:00-05:00,124.55000305175781,125.25,122.2300033569336,122.83999633789062,31570300,AMD
17,2025-01-27 00:00:00-05:00,117.80000305175781,118.08000183105469,112.80000305175781,115.01000213623047,61067900,AMD
18,2025-01-28 00:00:00-05:00,115.18000030517578,116.1500015258789,112.94999694824219,114.16999816894531,40554800,AMD
19,2025-01-29 00:00:00-05:00,115.7699966430664,118.5199966430664,114.95999908447266,117.3499984741211,40199100,AMD
20,2025-01-30 00:00:00-05:00,118.52999877929688,120.44000244140625,117.08999633789062,118.86000061035156,29788400,AMD
21,2025-01-31 00:00:00-05:00,119.13999938964844,119.56999969482422,115.33000183105469,115.94999694824219,40533600,AMD
22,2025-02-03 00:00:00-05:00,113.87999725341797,115.16000366210938,112.9800033569336,114.2699966430664,34586100,AMD
23,2025-02-04 00:00:00-05:00,115.44999694824219,119.8499984741211,114.79000091552734,119.5,69412100,AMD
24,2025-02-05 00:00:00-05:00,107.61000061035156,112.08999633789062,106.5,112.01000213623047,110385200,AMD
25,2025-02-06 00:00:00-05:00,110.93000030517578,112.55999755859375,109.0199966430664,110.16000366210938,50426600,AMD
26,2025-02-07 00:00:00-05:00,109.12999725341797,109.91999816894531,106.79000091552734,107.55999755859375,46082500,AMD
27,2025-02-10 00:00:00-05:00,108.44000244140625,111.4000015258789,108.1500015258789,110.4800033569336,34905400,AMD
28,2025-02-11 00:00:00-05:00,108.9800033569336,113.06999969482422,108.94000244140625,111.0999984741211,35033800,AMD
29,2025-02-12 00:00:00-05:00,109.5199966430664,111.83999633789062,109.05999755859375,111.72000122070312,25319700,AMD
30,2025-02-13 00:00:00-05:00,112.0,114.5999984741211,110.4000015258789,111.80999755859375,40911800,AMD
31,2025-02-14 00:00:00-05:00,112.6500015258789,114.62999725341797,111.69999694824219,113.0999984741211,32477200,AMD
32,2025-02-18 00:00:00-05:00,114.05000305175781,115.55000305175781,113.44999694824219,114.27999877929688,31720300,AMD
33,2025-02-19 00:00:00-05:00,114.25,116.11000061035156,113.13999938964844,114.69000244140625,28807700,AMD
34,2025-02-20 00:00:00-05:00,115.01000213623047,116.55000305175781,113.11000061035156,114.16999816894531,27219600,AMD
35,2025-02-21 00:00:00-05:00,114.8499984741211,115.76000213623047,110.43000030517578,110.83999633789062,41353700,AMD
36,2025-02-24 00:00:00-05:00,111.48999786376953,111.5999984741211,107.9800033569336,108.11000061035156,29072200,AMD
37,2025-02-25 00:00:00-05:00,107.88999938964844,108.63999938964844,103.62000274658203,103.95999908447266,39169200,AMD
38,2025-02-26 00:00:00-05:00,104.94999694824219,105.80000305175781,103.98999786376953,104.73999786376953,29178200,AMD
39,2025-02-27 00:00:00-05:00,105.08000183105469,105.76000213623047,99.5,99.51000213623047,47263700,AMD
40,2025-02-28 00:00:00-05:00,99.55999755859375,101.80000305175781,98.69000244140625,99.86000061035156,45194600,AMD
41,2025-03-03 00:00:00-05:00,101.5199966430664,102.33999633789062,97.08999633789062,98.2300033569336,38958000,AMD
42,2025-03-04 00:00:00-05:00,96.0,103.18000030517578,95.88999938964844,100.75,54156900,AMD
43,2025-03-05 00:00:00-05:00,100.36000061035156,101.83999633789062,98.87000274658203,101.66999816894531,27855500,AMD
44,2025-03-06 00:00:00-05:00,99.05000305175781,101.08000183105469,98.2699966430664,98.8499984741211,28985000,AMD
45,2025-03-07 00:00:00-05:00,98.87999725341797,100.6500015258789,96.38999938964844,100.30999755859375,33254400,AMD
46,2025-03-10 00:00:00-04:00,98.56999969482422,101.29000091552734,95.83000183105469,96.62999725341797,38733200,AMD
47,2025-03-11 00:00:00-04:00,96.79000091552734,98.16000366210938,94.7300033569336,96.76000213623047,34078300,AMD
48,2025-03-12 00:00:00-04:00,99.05000305175781,101.72000122070312,98.16999816894531,100.79000091552734,34241300,AMD
49,2025-03-13 00:00:00-04:00,99.72000122070312,100.06999969482422,97.2699966430664,98.11000061035156,28575200,AMD
